tract_id,precount_positive,all_positive,median_hhold_inc,median_age,week_19,count_19,week_20,count_20
53033011300,37,258,56402.0,39.5,2019/4/29,91,2020/4/27,26
53033011401,10,144,78806.0,34.1,2019/4/29,43,2020/4/27,16
53033011402,18,199,54151.0,37.1,2019/4/29,56,2020/4/27,22
53033011500,7,72,111528.0,39.7,2019/4/29,40,2020/4/27,20
53033011600,7,131,118599.0,45.7,2019/4/29,95,2020/4/27,28
53033011700,35,229,82869.0,43.5,2019/4/29,44,2020/4/27,16
53033011800,41,354,62782.0,37.8,2019/4/29,104,2020/4/27,24
53033011900,28,260,101028.0,41.1,2019/4/29,78,2020/4/27,15
53033012000,6,75,110192.0,40.2,2019/4/29,44,2020/4/27,18
53033012100,7,64,127955.0,48.2,2019/4/29,36,2020/4/27,12
53033020100,40,102,115341.0,52.0,2019/4/29,59,2020/4/27,25
53033020200,47,147,93542.0,47.4,2019/4/29,68,2020/4/27,33
53033020300,30,229,76352.0,37.0,2019/4/29,75,2020/4/27,47
53033020401,20,97,71184.0,39.3,2019/4/29,36,2020/4/27,28
53033020402,10,92,104144.0,37.7,2019/4/29,68,2020/4/27,28
53033020500,35,212,80517.0,40.0,2019/4/29,97,2020/4/27,54
53033020600,15,67,86991.0,41.9,2019/4/29,52,2020/4/27,28
53033020700,14,101,82367.0,39.4,2019/4/29,46,2020/4/27,18
53033020800,11,94,116563.0,48.9,2019/4/29,60,2020/4/27,21
53033020900,6,70,103690.0,43.6,2019/4/29,54,2020/4/27,8
53033021000,21,148,98083.0,41.4,2019/4/29,140,2020/4/27,47
53033021100,63,184,84155.0,38.3,2019/4/29,93,2020/4/27,39
53033021300,9,83,85165.0,44.9,2019/4/29,48,2020/4/27,20
53033021400,14,64,132292.0,44.3,2019/4/29,84,2020/4/27,24
53033021500,6,56,137321.0,46.0,2019/4/29,69,2020/4/27,20
53033021600,18,78,124115.0,41.9,2019/4/29,68,2020/4/27,38
53033021700,40,224,86875.0,36.7,2019/4/29,173,2020/4/27,52
53033021802,11,113,90577.0,32.8,2019/4/29,60,2020/4/27,20
53033021803,15,90,91780.0,40.6,2019/4/29,77,2020/4/27,12
53033021804,15,122,85804.0,35.3,2019/4/29,60,2020/4/27,16
53033021903,24,134,83938.0,38.3,2019/4/29,83,2020/4/27,47
53033021904,22,109,108421.0,37.1,2019/4/29,82,2020/4/27,24
53033021905,18,112,98815.0,36.2,2019/4/29,71,2020/4/27,42
53033021906,16,80,104722.0,37.1,2019/4/29,74,2020/4/27,48
53033022001,12,102,102143.0,43.8,2019/4/29,103,2020/4/27,37
53033022003,17,97,117895.0,36.4,2019/4/29,144,2020/4/27,46
53033022005,15,100,96238.0,32.3,2019/4/29,76,2020/4/27,30
53033022006,100,166,87969.0,41.7,2019/4/29,80,2020/4/27,44
53033022101,15,77,132891.0,41.9,2019/4/29,123,2020/4/27,53
53033022102,10,76,131169.0,39.6,2019/4/29,103,2020/4/27,44
53033022201,13,67,112273.0,37.9,2019/4/29,96,2020/4/27,35
53033022202,20,139,105543.0,35.7,2019/4/29,118,2020/4/27,59
53033022203,15,91,146111.0,41.6,2019/4/29,188,2020/4/27,63
53033022300,3,40,178447.0,48.8,2019/4/29,80,2020/4/27,31
53033022400,10,136,142279.0,39.0,2019/4/29,257,2020/4/27,143
53033022500,13,173,129235.0,40.4,2019/4/29,171,2020/4/27,65
53033022603,18,95,120661.0,36.1,2019/4/29,116,2020/4/27,41
53033022604,14,74,139000.0,37.6,2019/4/29,134,2020/4/27,45
53033022605,16,90,110820.0,32.3,2019/4/29,56,2020/4/27,32
53033022606,26,73,107480.0,37.5,2019/4/29,139,2020/4/27,55
53033022701,2,44,140123.0,39.1,2019/4/29,47,2020/4/27,26
53033022702,7,48,146477.0,36.0,2019/4/29,106,2020/4/27,39
53033022703,5,48,131250.0,37.2,2019/4/29,41,2020/4/27,21
53033022801,9,125,96500.0,32.9,2019/4/29,135,2020/4/27,46
53033022802,5,60,143163.0,35.8,2019/4/29,128,2020/4/27,49
53033022803,17,82,125292.0,33.4,2019/4/29,131,2020/4/27,45
53033022901,5,44,149524.0,45.4,2019/4/29,53,2020/4/27,29
53033022902,21,82,154449.0,40.5,2019/4/29,146,2020/4/27,76
53033023000,28,126,140875.0,41.3,2019/4/29,198,2020/4/27,61
53033023100,3,61,139219.0,43.1,2019/4/29,182,2020/4/27,29
53033023201,14,142,96791.0,31.8,2019/4/29,489,2020/4/27,20
53033023202,38,158,61314.0,36.2,2019/4/29,63,2020/4/27,8
53033023300,23,166,109595.0,39.0,2019/4/29,111,2020/4/27,87
53033023401,17,124,95993.0,37.8,2019/4/29,88,2020/4/27,47
53033023403,5,44,131477.0,40.8,2019/4/29,108,2020/4/27,38
53033023404,5,57,152049.0,38.8,2019/4/29,89,2020/4/27,38
53033023500,4,55,129129.0,39.8,2019/4/29,48,2020/4/27,52
53033023601,15,96,119609.0,37.7,2019/4/29,99,2020/4/27,62
53033023603,13,109,110820.0,32.5,2019/4/29,85,2020/4/27,8
53033023604,18,134,84917.0,37.7,2019/4/29,117,2020/4/27,41
53033023700,10,68,125250.0,38.8,2019/4/29,117,2020/4/27,37
53033023801,13,53,109097.0,35.0,2019/4/29,78,2020/4/27,13
53033023803,16,83,118351.0,33.0,2019/4/29,46,2020/4/27,18
53033023804,14,102,121478.0,34.4,2019/4/29,746,2020/4/27,52
53033023900,20,150,165278.0,44.5,2019/4/29,177,2020/4/27,66
53033024000,14,117,146512.0,40.2,2019/4/29,422,2020/4/27,68
53033024200,9,45,212763.0,46.8,2019/4/29,72,2020/4/27,31
53033024300,27,131,109523.0,46.2,2019/4/29,126,2020/4/27,67
53033024400,9,54,97042.0,38.7,2019/4/29,32,2020/4/27,44
53033024500,8,70,202308.0,46.0,2019/4/29,92,2020/4/27,24
53033024601,10,61,224167.0,48.0,2019/4/29,87,2020/4/27,43
53033024602,14,52,229537.0,46.0,2019/4/29,99,2020/4/27,30
53033024701,4,55,91226.0,39.9,2019/4/29,117,2020/4/27,36
53033024702,14,156,136016.0,44.7,2019/4/29,122,2020/4/27,49
53033024800,16,113,93950.0,36.8,2019/4/29,120,2020/4/27,40
53033024901,6,44,161719.0,46.2,2019/4/29,342,2020/4/27,61
53033024902,7,57,166932.0,42.2,2019/4/29,101,2020/4/27,39
53033024903,8,68,185273.0,44.8,2019/4/29,179,2020/4/27,85
53033025001,9,61,132292.0,39.0,2019/4/29,111,2020/4/27,51
53033025003,8,95,165811.0,40.1,2019/4/29,146,2020/4/27,50
53033025005,6,66,124167.0,39.7,2019/4/29,174,2020/4/27,75
53033025006,11,69,155043.0,38.5,2019/4/29,106,2020/4/27,61
53033025101,21,181,86488.0,35.6,2019/4/29,121,2020/4/27,43
53033025102,16,227,103606.0,36.2,2019/4/29,143,2020/4/27,66
53033025200,33,283,96500.0,37.4,2019/4/29,128,2020/4/27,46
53033025301,16,235,82438.0,37.3,2019/4/29,104,2020/4/27,49
53033025302,22,171,54577.0,42.0,2019/4/29,61,2020/4/27,32
53033025400,36,321,62727.0,34.3,2019/4/29,106,2020/4/27,53
53033025500,28,228,69688.0,35.1,2019/4/29,76,2020/4/27,28
53033025601,12,151,74902.0,38.0,2019/4/29,81,2020/4/27,20
53033025602,9,125,121008.0,40.9,2019/4/29,116,2020/4/27,59
53033025701,37,217,67759.0,33.2,2019/4/29,52,2020/4/27,40
53033025702,16,98,102048.0,40.4,2019/4/29,39,2020/4/27,12
53033025803,25,216,65451.0,31.4,2019/4/29,16,2020/4/27,24
53033025804,20,119,85926.0,38.5,2019/4/29,47,2020/4/27,21
53033025805,15,174,68302.0,35.5,2019/4/29,44,2020/4/27,20
53033025806,17,205,96089.0,34.7,2019/4/29,124,2020/4/27,44
53033026001,13,138,102586.0,45.0,2019/4/29,67,2020/4/27,4
53033026002,69,328,60471.0,32.8,2019/4/29,64,2020/4/27,19
53033026100,48,349,50888.0,33.6,2019/4/29,84,2020/4/27,32
53033026200,22,310,60000.0,36.4,2019/4/29,118,2020/4/27,54
53033026300,11,82,69107.0,40.1,2019/4/29,24,2020/4/27,12
53033026400,39,263,57965.0,36.3,2019/4/29,111,2020/4/27,30
53033026500,24,285,39341.0,33.8,2019/4/29,54,2020/4/27,20
53033026600,17,101,86776.0,38.8,2019/4/29,33,2020/4/27,17
53033026700,16,216,101250.0,37.0,2019/4/29,98,2020/4/27,44
53033026801,33,322,55761.0,34.8,2019/4/29,115,2020/4/27,36
53033026802,41,332,56000.0,37.5,2019/4/29,105,2020/4/27,39
53033027000,21,144,60263.0,40.6,2019/4/29,78,2020/4/27,29
53033027100,12,180,46205.0,35.4,2019/4/29,84,2020/4/27,16
53033027200,15,161,57500.0,35.1,2019/4/29,34,2020/4/27,8
53033027300,20,351,60804.0,34.8,2019/4/29,108,2020/4/27,54
53033027400,26,294,74714.0,39.5,2019/4/29,114,2020/4/27,42
53033027500,22,225,64640.0,39.9,2019/4/29,53,2020/4/27,49
53033027600,19,181,78769.0,37.5,2019/4/29,103,2020/4/27,41
53033027701,0,23,70726.0,51.6,2019/4/29,50,2020/4/27,8
53033027702,4,50,93641.0,56.2,2019/4/29,75,2020/4/27,30
53033027800,5,57,102250.0,55.2,2019/4/29,32,2020/4/27,16
53033027900,29,247,65023.0,37.9,2019/4/29,126,2020/4/27,41
53033028000,16,182,51859.0,33.6,2019/4/29,95,2020/4/27,38
53033028100,17,216,62165.0,32.7,2019/4/29,41,2020/4/27,12
53033028200,35,299,64196.0,32.4,2019/4/29,55,2020/4/27,24
53033028300,26,264,91083.0,38.3,2019/4/29,107,2020/4/27,24
53033028402,20,289,51442.0,33.5,2019/4/29,97,2020/4/27,58
53033028403,24,304,54093.0,41.7,2019/4/29,55,2020/4/27,17
53033028500,26,144,71488.0,34.5,2019/4/29,58,2020/4/27,28
53033028600,12,124,83780.0,50.8,2019/4/29,100,2020/4/27,52
53033028700,11,123,98301.0,42.0,2019/4/29,110,2020/4/27,50
53033028801,5,139,66822.0,40.3,2019/4/29,28,2020/4/27,28
53033028802,37,339,61885.0,30.7,2019/4/29,102,2020/4/27,28
53033028901,13,121,73551.0,48.5,2019/4/29,72,2020/4/27,33
53033028902,34,390,54041.0,30.9,2019/4/29,143,2020/4/27,76
53033029001,21,167,76930.0,47.7,2019/4/29,143,2020/4/27,41
53033029003,22,292,50942.0,39.9,2019/4/29,68,2020/4/27,40
53033029004,28,260,43493.0,28.6,2019/4/29,70,2020/4/27,26
53033029101,12,122,70625.0,37.4,2019/4/29,64,2020/4/27,13
53033029102,10,203,93053.0,38.8,2019/4/29,94,2020/4/27,33
53033029203,14,176,57852.0,33.4,2019/4/29,74,2020/4/27,12
53033029204,23,315,74097.0,27.7,2019/4/29,107,2020/4/27,45
53033029205,13,207,74044.0,36.3,2019/4/29,91,2020/4/27,41
53033029206,14,215,34857.0,30.8,2019/4/29,118,2020/4/27,46
53033029303,31,244,75391.0,40.1,2019/4/29,65,2020/4/27,27
53033029304,6,145,92886.0,40.6,2019/4/29,57,2020/4/27,20
53033029305,24,176,105579.0,40.4,2019/4/29,58,2020/4/27,20
53033029306,9,121,103056.0,41.7,2019/4/29,16,2020/4/27,8
53033029307,10,114,100764.0,39.8,2019/4/29,47,2020/4/27,27
53033029403,13,258,83088.0,33.9,2019/4/29,79,2020/4/27,13
53033029405,11,213,86250.0,39.3,2019/4/29,93,2020/4/27,32
53033029406,17,171,105995.0,37.6,2019/4/29,60,2020/4/27,29
53033029407,60,334,51760.0,31.5,2019/4/29,94,2020/4/27,37
53033029408,16,212,56397.0,36.3,2019/4/29,85,2020/4/27,12
53033029502,31,316,98750.0,35.6,2019/4/29,108,2020/4/27,20
53033029503,40,447,52732.0,31.5,2019/4/29,147,2020/4/27,62
53033029504,29,317,45694.0,32.4,2019/4/29,76,2020/4/27,8
53033029601,44,421,74971.0,33.6,2019/4/29,96,2020/4/27,56
53033029602,20,286,129598.0,39.1,2019/4/29,159,2020/4/27,36
53033029700,24,426,49814.0,38.0,2019/4/29,135,2020/4/27,49
53033029801,32,391,72228.0,32.8,2019/4/29,103,2020/4/27,56
53033029802,31,408,93624.0,37.6,2019/4/29,105,2020/4/27,42
53033029901,14,257,93141.0,35.2,2019/4/29,52,2020/4/27,24
53033029902,13,201,107286.0,44.2,2019/4/29,70,2020/4/27,29
53033030003,21,327,71973.0,37.5,2019/4/29,49,2020/4/27,25
53033030004,36,526,56250.0,28.1,2019/4/29,124,2020/4/27,53
53033030005,33,417,68137.0,31.7,2019/4/29,101,2020/4/27,44
